Ent,;Entidad;Fecha de Datos (*);Ppto, Aprobado;Crédito Vigente;Comprometido;Devengado;Pagado;Saldo por Devengar;Deuda Flotante;;;;
1203;Gobierno Autónomo Municipal de Mecapaca;30-sep-22;18909574,00;31648179,80;13159864,10;13159864,10;13159864,10;18488315,70;0,00;;;;
1214;Gobierno Autónomo Municipal de Calamarca;30-sep-22;13093551,00;21510219,52;10103372,48;10103372,48;10103372,48;11406847,04;0,00;;;;
1244;Gobierno Autónomo Municipal de Nazacara de Pacajes;30-sep-22;567331,00;567331,00;1177,61;1177,61;1177,61;566153,39;0,00;;;;
1257;Gobierno Autónomo Municipal de Irupana (Villa de Lanza);30-sep-22;16553344,00;21827275,82;11571577,00;11571577,00;11414184,53;10255698,82;157392,47;;;;
1241;Gobierno Autónomo Municipal de Comanche;30-sep-22;3303174,00;5374880,93;1698771,07;1698771,07;1698771,07;3676109,86;0,00;;;;
1201;Gobierno Autónomo Municipal de La Paz;30-sep-22;2026857578,00;2284439226,00;1288968810,70;1160518718,07;1067060270,09;1123920507,93;93458447,98;;;;
1217;Gobierno Autónomo Municipal de Collana;30-sep-22;4663686,00;7748047,51;2854607,37;2854607,37;2850181,76;4893440,14;4425,61;;;;
1234;Gobierno Autónomo Municipal de Tito Yupanqui;30-sep-22;5143757,00;6168321,07;2487132,55;2487132,55;2450022,16;3681188,52;37110,39;;;;
1280;Gobierno Autónomo Municipal de Taraco;30-sep-22;6883636,00;9008288,35;4415786,99;4415786,99;4337763,51;4592501,36;78023,48;;;;
1231;Gobierno Autónomo Municipal de Combaya;30-sep-22;3063778,00;4626999,08;2257511,88;2257511,88;2256204,19;2369487,20;1307,69;;;;
1259;Gobierno Autónomo Municipal de Palos Blancos;30-sep-22;21967065,00;30998332,87;16974766,21;16974766,21;16951624,21;14023566,66;23142,00;;;;
1284;Gobierno Autónomo Municipal de Humanata;30-sep-22;4403254,00;5756942,53;2473619,75;2473619,75;2466644,75;3283322,78;6975,00;;;;
1211;Gobierno Autónomo Municipal de Sica Sica (Villa Aroma);30-sep-22;29629291,00;40018079,06;15583910,82;15583910,82;15013228,12;24434168,24;570682,70;;;;
1209;Gobierno Autónomo Municipal de Desaguadero;30-sep-22;6443263,00;8780754,51;4009790,66;4009790,66;4009790,66;4770963,85;0,00;;;;
1282;Gobierno Autónomo Municipal de Santiago de Huata;30-sep-22;7542327,00;11897588,87;8286630,28;8286630,28;8281713,62;3610958,59;4916,66;;;;
1251;Gobierno Autónomo Municipal de Luribay;30-sep-22;11627995,00;17987925,26;7769151,61;7761339,72;7761339,72;10226585,54;0,00;;;;
1218;Gobierno Autónomo Municipal de Inquisivi;30-sep-22;13870853,00;18546056,23;9247773,25;9247773,25;9247756,25;9298282,98;17,00;;;;
1227;Gobierno Autónomo Municipal de Guanay;30-sep-22;17427229,00;25521356,82;16467265,89;16467265,89;16467265,89;9054090,93;0,00;;;;
1205;Gobierno Autónomo Municipal de El Alto de La Paz;30-sep-22;1367684713,00;1484629238,98;774402227,78;743279918,17;723783607,86;741349320,81;19496310,31;;;;
1278;Gobierno Autónomo Municipal de San Andrés de Machaca;30-sep-22;5516376,00;6996864,73;2739383,84;2739383,84;2718043,84;4257480,89;21340,00;;;;
1264;Gobierno Autónomo Municipal de Puerto Pérez;30-sep-22;5451800,00;8906480,25;3817219,48;3817219,48;3816120,28;5089260,77;1099,20;;;;
1271;Gobierno Autónomo Municipal de San Pedro de Curahuara;30-sep-22;7417339,00;9742039,26;3249945,54;3249945,54;3238980,56;6492093,72;10964,98;;;;
1225;Gobierno Autónomo Municipal de Ancoraimes;30-sep-22;11435640,00;13106153,09;7590842,05;7590842,05;7590842,05;5515311,04;0,00;;;;
1267;Gobierno Autónomo Municipal de Ixiamas;30-sep-22;10202978,00;13655907,48;6536078,71;6536078,71;6531628,71;7119828,77;4450,00;;;;
1210;Gobierno Autónomo Municipal de Caranavi;30-sep-22;53204053,00;74715939,06;34068261,88;34068261,88;33619679,60;40647677,18;448582,28;;;;
1208;Gobierno Autónomo Municipal de Tiahuanacu;30-sep-22;10381428,00;18088636,62;7722677,46;7722677,46;7651837,82;10365959,16;70839,64;;;;
1219;Gobierno Autónomo Municipal de Quime;30-sep-22;8751118,00;11642874,66;3627667,41;3627667,41;3610163,77;8015207,25;17503,64;;;;
1212;Gobierno Autónomo Municipal de Umala;30-sep-22;7803257,00;8492893,09;3792036,43;3792036,43;3792036,43;4700856,66;0,00;;;;
1265;Gobierno Autónomo Municipal de Coroico;30-sep-22;19550646,00;28721724,89;12670671,23;12670671,23;12617842,49;16051053,66;52828,74;;;;
1269;Gobierno Autónomo Municipal de General Juan José Pérez (Charazani);30-sep-22;11655468,00;14228354,55;7305869,10;7305869,10;7305869,10;6922485,45;0,00;;;;
1237;Gobierno Autónomo Municipal de Aucapata;30-sep-22;4634546,00;5593199,07;2313110,15;2313110,15;2313110,15;3280088,92;0,00;;;;
1255;Gobierno Autónomo Municipal de Cairoma;30-sep-22;11941316,00;18688607,51;11955349,72;11955349,72;11955349,72;6733257,79;0,00;;;;
1230;Gobierno Autónomo Municipal de Quiabaya;30-sep-22;2405749,00;4975814,12;3144983,75;3144983,75;3137745,47;1830830,37;7238,28;;;;
1261;Gobierno Autónomo Municipal de Pucarani;30-sep-22;36723643,00;51277343,23;20871746,61;20871746,61;20871746,61;30405596,62;0,00;;;;
1216;Gobierno Autónomo Municipal de Colquencha;30-sep-22;8364524,00;14000858,08;8326299,45;8326299,45;8265395,74;5674558,63;60903,71;;;;
1245;Gobierno Autónomo Municipal de Santiago de Callapa;30-sep-22;6163068,00;7934030,54;3941397,37;3941397,37;3891872,51;3992633,17;49524,86;;;;
1220;Gobierno Autónomo Municipal de Cajuata;30-sep-22;9544389,00;13481645,42;6592173,04;6592173,04;6591842,86;6889472,38;330,18;;;;
1213;Gobierno Autónomo Municipal de Ayo Ayo;30-sep-22;6514968,00;10120718,42;5299074,35;5299074,35;5297890,92;4821644,07;1183,43;;;;
1276;Gobierno Autónomo Municipal de Mapiri;30-sep-22;16030988,00;20771408,97;8263574,68;8263160,84;8263160,84;12508248,13;0,00;;;;
1228;Gobierno Autónomo Municipal de Tacacoma;30-sep-22;6883028,00;15992109,34;9172462,69;9172462,69;9172462,69;6819646,65;0,00;;;;
1239;Gobierno Autónomo Municipal de Caquiaviri;30-sep-22;24338874,00;36961890,15;16164768,16;16164768,16;15826213,53;20797121,99;338554,63;;;;
1268;Gobierno Autónomo Municipal de San Buenaventura;30-sep-22;8934318,00;13233603,86;7520878,66;7520878,66;7520878,66;5712725,20;0,00;;;;
1243;Gobierno Autónomo Municipal de Waldo Ballivián;30-sep-22;4142179,00;5922559,34;3680777,88;3680777,88;3680777,88;2241781,46;0,00;;;;
1286;Gobierno Autónomo Municipal de Huatajata;30-sep-22;3877386,00;7475785,75;4527810,76;4527810,76;4527810,76;2947974,99;0,00;;;;
1206;Gobierno Autónomo Municipal de Viacha;30-sep-22;116840559,00;162394532,80;83093244,15;71704656,04;70098622,16;90689876,76;1606033,88;;;;
1229;Gobierno Autónomo Municipal de Tipuani;30-sep-22;10155399,00;11181224,25;6138566,14;6138566,14;6137606,14;5042658,11;960,00;;;;
1279;Gobierno Autónomo Municipal de Jesús de Machaca;30-sep-22;12973756,00;17642502,95;7106410,65;7106410,65;7106410,65;10536092,30;0,00;;;;
1248;Gobierno Autónomo Municipal de Carabuco;30-sep-22;12661011,00;15536792,39;6120817,13;6120817,13;6119026,65;9415975,26;1790,48;;;;
1221;Gobierno Autónomo Municipal de Colquiri;30-sep-22;21066589,00;29309035,57;10937545,65;10937545,65;10937545,65;18371489,92;0,00;;;;
1252;Gobierno Autónomo Municipal de Sapahaqui;30-sep-22;10515805,00;14746132,55;7451253,29;7451253,29;7450638,29;7294879,26;615,00;;;;
1281;Gobierno Autónomo Municipal de Huarina;30-sep-22;6792509,00;19371711,53;4468806,86;4468806,86;4468806,86;14902904,67;0,00;;;;
1254;Gobierno Autónomo Municipal de Malla;30-sep-22;4372909,00;4823371,52;2639137,77;2498656,17;2498656,17;2324715,35;0,00;;;;
1256;Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad);30-sep-22;15255410,00;18192258,43;5558423,38;5558423,38;5270710,43;12633835,05;287712,95;;;;
1223;Gobierno Autónomo Municipal de Villa Libertad Licoma;30-sep-22;4579817,00;6425689,66;3655842,16;3655842,16;3636512,16;2769847,50;19330,00;;;;
1275;Gobierno Autónomo Municipal de Catacora;30-sep-22;2350115,00;2350115,00;0,00;0,00;0,00;2350115,00;0,00;;;;
1266;Gobierno Autónomo Municipal de Coripata;30-sep-22;14656258,00;19646830,06;9484726,63;9484726,63;9483006,63;10162103,43;1720,00;;;;
1204;Gobierno Autónomo Municipal de Achocalla;30-sep-22;68445977,00;84266544,90;39059499,59;39059499,59;37791526,87;45207045,31;1267972,72;;;;
1262;Gobierno Autónomo Municipal de Laja;30-sep-22;32880855,00;36055724,20;13694474,01;13694474,01;13684146,65;22361250,19;10327,36;;;;
1287;Gobierno Autónomo Municipal de Chua Cocani;30-sep-22;5199663,00;7428934,00;4396418,49;4393418,49;4393418,49;3035515,51;0,00;;;;
1258;Gobierno Autónomo Municipal de Yanacachi;30-sep-22;6763995,00;7328888,00;3105562,78;3105562,78;3018449,63;4223325,22;87113,15;;;;
1270;Gobierno Autónomo Municipal de Curva;30-sep-22;2773078,00;3304618,38;1846407,75;1846407,75;1846407,75;1458210,63;0,00;;;;
1246;Gobierno Autónomo Municipal de Puerto Acosta;30-sep-22;10708186,00;16823279,20;7917913,46;7917913,46;7917913,46;8905365,74;0,00;;;;
1233;Gobierno Autónomo Municipal de San Pedro de Tiquina;30-sep-22;7040228,00;8489022,92;3657605,59;3657605,59;3592228,09;4831417,33;65377,50;;;;
1202;Gobierno Autónomo Municipal de Palca;30-sep-22;23392787,00;34963709,04;15354284,48;14863293,87;13621552,27;20100415,17;1241741,60;;;;
1272;Gobierno Autónomo Municipal de Papel Pampa;30-sep-22;6606779,00;10095481,30;5686537,18;5686537,18;5686537,18;4408944,12;0,00;;;;
1253;Gobierno Autónomo Municipal de Yaco;30-sep-22;5996237,00;10309506,88;4930296,09;4930296,09;4930296,09;5379210,79;0,00;;;;
1235;Gobierno Autónomo Municipal de Chuma;30-sep-22;9459747,00;16898020,36;6950235,40;6950235,40;6950235,40;9947784,96;0,00;;;;
1226;Gobierno Autónomo Municipal de Sorata;30-sep-22;25200852,00;33014629,17;11618119,80;11618119,80;11344747,12;21396509,37;273372,68;;;;
1232;Gobierno Autónomo Municipal de Copacabana;30-sep-22;13585228,00;26822293,86;5837578,69;5837578,69;5751145,07;20984715,17;86433,62;;;;
1207;Gobierno Autónomo Municipal de Guaqui;30-sep-22;6098464,00;8558882,96;3531302,31;3531302,31;3503982,31;5027580,65;27320,00;;;;
1247;Gobierno Autónomo Municipal de Mocomoco;30-sep-22;12843608,00;18110093,29;8669487,09;8669487,09;8649507,09;9440606,20;19980,00;;;;
1224;Gobierno Autónomo Municipal de Achacachi;30-sep-22;52685210,00;66868636,95;37465741,47;27472818,68;27387777,85;39395818,27;85040,83;;;;
1240;Gobierno Autónomo Municipal de Calacoto;30-sep-22;8179465,00;15148493,60;8311743,81;8311743,81;8283011,81;6836749,79;28732,00;;;;
1249;Gobierno Autónomo Municipal de Apolo;30-sep-22;21422445,00;28904964,45;10058249,28;10058249,28;10058249,28;18846715,17;0,00;;;;
1277;Gobierno Autónomo Municipal de Teoponte;30-sep-22;9218830,00;12037494,98;8721,03;8721,03;8721,03;12028773,95;0,00;;;;
1260;Gobierno Autónomo Municipal de La Asunta;30-sep-22;34715242,00;60469533,82;27495253,72;27495253,72;27437217,72;32974280,10;58036,00;;;;
1263;Gobierno Autónomo Municipal de Batallas;30-sep-22;16678436,00;32445074,10;11539404,07;11539404,07;11537983,95;20905670,03;1420,12;;;;
1274;Gobierno Autónomo Municipal de Santiago de Machaca;30-sep-22;4672116,00;6561458,62;3531216,53;3531216,53;3514446,53;3030242,09;16770,00;;;;
1283;Gobierno Autónomo Municipal de Escoma;30-sep-22;6105589,00;7563290,12;3566798,94;3566798,94;3566798,94;3996491,18;0,00;;;;
1242;Gobierno Autónomo Municipal de Charaña;30-sep-22;2825678,00;3497495,40;1641257,22;1641257,22;1641257,22;1856238,18;0,00;;;;
1238;Gobierno Autónomo Municipal de Corocoro;30-sep-22;9606336,00;14767299,08;5578271,62;5578271,62;5521772,12;9189027,46;56499,50;;;;
1273;Gobierno Autónomo Municipal de Chacarilla;30-sep-22;1778730,00;1780187,18;1078326,54;1078326,54;1078326,54;701860,64;0,00;;;;
1285;Gobierno Autónomo Municipal de Alto Beni;30-sep-22;10785917,00;16204535,99;7275688,46;7259638,46;7216638,00;8944897,53;43000,46;;;;
1250;Gobierno Autónomo Municipal de Pelechuco;30-sep-22;7431069,00;18832283,00;4560746,30;4560746,30;4560746,30;14271536,70;0,00;;;;
1215;Gobierno Autónomo Municipal de Patacamaya;30-sep-22;23644048,00;37448671,82;17601883,17;17460355,02;17388477,51;19988316,80;71877,51;;;;
1222;Gobierno Autónomo Municipal de Ichoca;30-sep-22;6805547,00;11308461,01;6762776,96;6762776,96;6762776,96;4545684,05;0,00;;;;
1236;Gobierno Autónomo Municipal de Ayata;30-sep-22;6902134,00;9909817,52;5175424,25;5175424,25;5160385,25;4734393,27;15039,00;;;;
